title,rating
Star Wars: Episode VII - The Force Awakens,7.8
Shin Godzilla,6.8
Harry Potter and the Deathly Hallows: Part 2,8.1
Shin Godzilla,6.8
Harry Potter and the Deathly Hallows: Part 2,8.1
Asterix at the Olympic Games,7.0
"10,000 BC",5.1
Evolution,6.1
Life,6.6
The Missing,8.2
The Monkey King 2,5.9
Anger Management,6.3
Unforgotten,8.4
A Touch of Frost,7.9
Twisted Metal,7.3
The Tooth Fairy,4.4
Animal Kingdom: Let's Go Ape,4.9
Baahubali: The Beginning,8.0
Dragon Nest: Warriors' Dawn,6.2
Dark Planet,5.1
Hit the Floor,6.9
Black Water Transit,6.8
Thunder and the House of Magic,6.2
Trapped,8.0
Little Nicholas,7.1
Grace of Monaco,5.7
A Warrior's Tail,4.4
Captain Alatriste: The Spanish Musketeer,6.1
The Honeymooners,8.6
The Magic Flute,5.6
Forbidden Empire,5.2
A Perfect Plan,6.3
Kung Fu Jungle,6.4
Rogue Heroes,8.1
Bodyguards and Assassins,6.8
The Bachelor,3.3
Meet the Browns,3.8
Yu-Gi-Oh! Duel Monsters,8.2
Fired Up!,6.1
The Visitors II: The Corridors of Time,6.1
The Doombolt Chase,7.2
Stacy's Knights,4.6
Ramanujan,7.3
Fight Valley,2.7
Firestorm,4.8
Unforgettable,6.8
Restoration,6.6
The Messengers,5.3
Arn: The Knight Templar,6.6
Welcome to the Sticks - IMDb,None
The Company You Keep,6.4
Listening In,6.8
Chiamatemi Francesco - Il Papa della gente,6.7
The Towering Inferno,7.0
Ghost Hunters,6.3
The Border,6.4
Del 1 - M�n som hatar kvinnor,8.2
Battle for Incheon: Operation Chromite,6.2
Madadayo,7.3
Byzantium a Tale of Three Cities,7.9
Lovesick,8.0
Housefull 5,None
The B�lier Family,7.3
The Swindle,7.5
A Man on the Inside,7.7
Jungle Shuffle,4.4
Of Horses and Men,None
Gunless,6.4
Kites,6.0
Loose Cannons,4.9
The American Barbecue Showdown,7.2
Silmido,7.0
Namastey London,7.1
Valley of the Wolves: Iraq,5.7
The Young and the Restless,5.3
Wuthering Heights,None
My Lucky Stars,6.3
Far from Men,7.2
Alias Betty,6.8
Outside Bet,4.8
Black November,5.3
Ta Ra Rum Pum,5.7
The Wave,6.6
Michael Jordan to the Max,7.4
Nikita,7.7
Veer Zaara,7.8
Z Storm,5.4
Alpha and Omega 4: The Legend of the Saw Toothed Cave,5.1
Stargate: The Ark of Truth,7.2
Two Lovers and a Bear,6.0
Criminal Activities,5.8
Aimee & Jaguar,7.2
Aberdeen,7.6
Dolphins and Whales 3D: Tribes of the Ocean,6.2
Goddess of Love,5.2
Emma.,6.7
Nocturnal Animals,7.4
Solomon and Sheba,6.1
Sea Rex 3D: Journey to a Prehistoric World,6.7
"Gandhi, My Father",7.3
Should've Been Romeo,5.7
A Horse for Christmas,5.0
Navy Seals vs. Zombies,3.3
Soul Kitchen,7.2
Wild Camp,5.5
Barfi!,8.1
Treading Water,6.0
Out of the Blue,4.3
Secrets & Lies,8.0
Mozart's Sister,6.4
Fugly,5.3
Airlift,7.9
Paatal Lok,8.2
Cargo,6.3
Animal Kingdom,8.2
Hansel & Gretel Get Baked,4.4
The Geographer Drank His Globe Away,7.3
Purple Violets,6.4
The Betrayed,5.8
Kingsman: The Secret Service,7.7
2:13,4.8
Time to Choose,7.4
Dawn Patrol,4.8
The Opposite Sex,6.1
Deadline Gallipoli,7.2
Happiness,7.7
Creature Commandos,7.8
Dead Alive,7.5
The Grand Budapest Hotel,8.1
The Open Road,5.5
Four Single Fathers,5.3
Enter the Dangerous Mind,5.1
The Night of the Iguana,7.6
At Close Range,6.9
Amnesiac,4.3
Sardarji,6.2
The Dressmaker,7.0
Crazy Racer,7.4
"Fat, Sick & Nearly Dead",7.5
Evil Words,6.3
Marilyn Hotchkiss' Ballroom Dancing & Charm School,6.5
Valley of the Heart's Delight,5.4
Antibirth,4.9
Chicken Tikka Masala,5.7
Always Woodstock,5.2
Sharkskin,6.4
Containment,7.1
The Timber,4.4
In the Heat of the Night,7.6
No End in Sight,8.2
Get Real,7.3
Hum To Mohabbat Karega,3.1
The Missing Person,6.0
Sinatra Being Frank,6.5
Wings,7.3
Coffee Town,6.5
Slacker Uprising,5.3
The Curse of Downers Grove,4.4
Abandoned,3.8
Vaalu,4.7
Travelers and Magicians,7.4
Deadline - U.S.A.,7.2
A Beginner's Guide to Snuff,5.0
Dil Jo Bhi Kahey...,4.6
Kids,7.0
Kickboxer: Vengeance,4.9
Road Hard,6.0
Me You and Five Bucks,4.5
Fetching Cody,6.5
Mutant World,2.8
Checkmate,7.4
Girl House,5.5
Authentic Storytelling: The Ballad of Gregorio Cortez,None
The Streets of San Francisco,7.3
Space: Above and Beyond,7.8
Neal 'n' Nikki,3.2
Da Sweet Blood of Jesus,4.5
The Algerian,5.6
The Amazing Catfish,7.0
Certifiably Jonathan,6.2
Desire,5.4
The Knife of Don Juan,7.1
Bleeding Hearts,3.2
Dead Man's Shoes,7.5
Wolf Creek,6.2
Sex with Strangers,4.4
Dracula: Pages from a Virgin's Diary,6.8
Rocket Singh: Salesman of the Year,7.5
Love Me Tender,6.2
Departure,6.8
Fiza,6.0
Ajami,7.3
Chocolate: Deep Dark Secrets,4.8
16 to Life,6.2
Karachi Se Lahore,6.3
The Greatest Hits,6.2
The Party's Over,8.0
My Last Day Without You,5.7
The Secret Life of Pets,6.5
Bang Bang Baby,6.8
Jesse,6.0
And Then Came Love,4.7
Food Chains,7.1
The Horror Network Vol. 1,4.2
Dear Elza!,5.6
The Greatest American Hero,7.3
Windsor Drive,3.1
Crying with Laughter,7.0
Harrison Montgomery,7.4
Blood Vessel,5.4
Iraq for Sale: The War Profiteers,7.6
Indiana Jones and the Dial of Destiny,6.5
Adulterers,5.1
Starsuckers,7.4
The Hadza: Last of the First,7.4
Treachery,3.1
The Secret Life of Walter Mitty,7.3
They Will Have to Kill Us First: Malian Music In Exile,7.2
Crop Circles: Quest for Truth,6.8
Irreplaceable You,6.4
The Maid's Room,4.6
The Harvest/La Cosecha,7.1
Julija in alfa Romeo,5.7
Faith Connections,7.3
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,7.1
Crazy Stone,7.6
Scott Walker: 30 Century Man,7.2
Insomnia Manica,5.5
The Outrageous Sophie Tucker,7.3
Is America Still the Best Place to Live?,None
Alleluia! The Devil's Carnival,6.4
Born to Fly: Elizabeth Streb vs. Gravity,6.7
The Little Ponderosa Zoo,5.8
Mutual Friends,6.3
On Earth as It Is in Heaven - IMDb,None
Roadside,3.8
Gory Gory Hallelujah,4.1
Love in the Time of Monsters,5.1
Censored Voices,7.3
Rotor DR1,3.4
My Dog Tulip,6.8
The Big Swap,5.2
Ayurveda: Art of Being,7.5
Alice Through the Looking Glass,6.2
Amidst the Devil's Wings,4.2
Teeth and Blood,4.5
Bates Motel,8.1
The Sticky Fingers of Time,6.1
Ink,6.8
Jesus People: The Movie,5.2
Give Me Shelter,8.2
Little Big Top,6.0
Along the Roadside,6.8
Western Religion,3.9
The Business of Fancydancing,6.6
Shooting the Warwicks,6.1
One Hundred Years of Solitude,8.4
The Curious Case of...,4.0
Samantha: An American Girl Holiday,7.0
Theresa Is a Mother,6.9
High Potential,7.7
Archaeology of a Woman,6.3
Butterfly Girl,8.3
The World Is Mine,5.9
Perfect Cowboy,5.7
The Woman Chaser,7.0
When the Lights Went Out,5.3
Antarctic Edge: 70� South,6.8
Aroused,5.2
Top Spin,6.9
The Brain That Sings,8.3
The Blood of My Brother,6.4
A Dog's Breakfast,6.6
A Dog's Breakfast,6.6
A Married Woman,7.1
The Work and the Story,5.3
Over the Hill to the Poorhouse,5.1
Echo Dr.,3.5
"Peace, Propaganda & the Promised Land",8.2
Queen Crab,3.7
The Naked Ape,5.2
Counting Cars,7.0
The Call of Cthulhu,7.1
Bending Steel,7.8
The Image Revolution,7.1
Based on a True Story,7.2
Dawn of the Crescent Moon,5.5
"Run, Hide, Die",2.8
Funny Ha Ha,6.4
Manito,6.6
Dutch Kills,5.5
Dry Spell,6.8
Flywheel,6.7
The Ridges,3.0
Stories of Our Lives,7.6
Breaking Upwards,6.0
Tin Can Man,6.0
The Cure,7.7
On the Downlow,5.6
Sanctuary: Quite a Conundrum,5.2
The Big Bang Theory,8.1
"Signed, Sealed, Delivered",7.7
A Plague So Pleasant,5.6
