title,director,budget,gross,language,country,year,runtime,actors
Hits,David Cross,1000000,0,en,US,2014,96,"Meredith Hagner, Matt Walsh, James Adomian"
Jimmy and Judy,Randall Rubin,1000000,0,en,US,2006,99,"Edward Furlong, Rachael Bella, William Sadler"
Frat Party,Robert Bennett,0,0,en,US,2009,85,"Randy Wayne, Caroline D'Amore, Jareb Dauplaise"
The Party's Over,Elena Manrique,0,0,es,ES,2025,103,"Edith Martínez-Val, Sonia Barba, Beatriz Arjona"
Proud,Mary Pat Kelly,0,0,en,US,2004,87,"Ossie Davis, Stephen Rea, Aidan Quinn"
The Poker House,Lori Petty,1000000,0,en,US,2008,93,"Jennifer Lawrence, Selma Blair, Bokeem Woodbine"
Childless,Charlie Levi,1000000,0,en,US,2015,90,"Barbara Hershey, Joe Mantegna, Diane Venora"
ZMD: Zombies of Mass Destruction,Kevin Hamedani,500000,0,en,US,2010,92,"Janette Armand, Doug Fahl, Cooper Hopkins"
Snow White: A Deadly Summer,David DeCoteau,1000000,0,en,US,2012,85,"Shanley Caswell, Maureen McCormick, Eric Roberts"
Hidden Away,Giorgio Diritti,0,0,it,IT,2020,120,"Elio Germano, Oliver Ewy, Leonardo Carrozzo"
My Last Day Without You,Stefan C. Schaefer,1000000,0,de,DE,2011,93,"Ken Duken, Nicole Beharie, Reg E. Cathey"
Steppin: The Movie,Michael Taliferro,0,0,en,US,2009,85,"Darius McCrary, Wesley Jonathan, Chrystee Pharris"
Doc Holliday's Revenge,David DeCoteau,1000000,0,en,US,2014,84,"Tom Berenger, Ashley Hayes, Eric Roberts"
Black Rock,Katie Aselton,0,0,en,US,2012,79,"Katie Aselton, Lake Bell, Kate Bosworth"
Truth or Die,Tom Grejs,0,0,sv,SE,2010,11,"Moa Johansson, Christoffer Lehmann"
The Pet,D. Stevens,0,0,en,US,2006,94,"Pierre Dulat, Andrea Edmondson, Summer Nguyen"
Bang Bang Baby,Jeffrey St. Jules,1000000,0,en,US,2014,90,"Jane Levy, Peter Stormare, Justin Chatwin"
Fear Clinic,Robert Hall,1000000,0,en,US,2014,95,"Thomas Dekker, Robert Englund, Cleopatra Coleman"
Zombie Hunter,Kevin King,1000000,0,en,US,2013,93,"Martin Copping, Clare Niederpruem, Jade Regier"
A Fine Step,Jonathan Meyers,0,0,en,US,2014,90,"Luke Perry, Armand Assante, Cameron Daddo"
Charly,Ralph Nelson,950000,814666,en,US,1968,103,"Cliff Robertson, Claire Bloom, Lilia Skala"
Banshee Chapter,Blair Erickson,950000,0,en,US,2013,87,"Ted Levine, Katia Winter, Michael McMillian"
Jesse,Vinz Feller,0,0,en,US,2020,15,"Mercedes Torres, Stephen Hill, Linda Geiser"
Ask Me Anything,Allison Burnett,950000,0,en,US,2014,100,"Britt Robertson, Molly Hagan, Andy Buckley"
And Then Came Love,Richard Schenkman,0,0,en,US,2007,90,"Vanessa Williams, Kevin Daniels, Eartha Kitt"
Food Chains,Sanjay Rawal,913000,0,de,DE,2014,83,"Forest Whitaker, Eric Schlosser, Eva Longoria"
The Horror Network Vol. 1,Brian Dorton,0,0,en,US,2015,97,"Nick Frangione, Artem Mishin, Jan Cornet"
Circumstance,Maryam Keshavarz,0,0,fa,FR,2011,107,"Nikohl Boosheri, Sarah Kazemy, Reza Sixo Safai"
Bambi,David Hand,858000,267447150,en,US,1942,70,"Donnie Dunagan, Peter Behn, Stan Alexander"
The Hammer,Charles Herman-Wurmfeld,0,0,en,US,2007,88,"Adam Carolla, Oswaldo Castillo, Harold 'House' Moore"
Elza,Duda Maia,0,0,pt,BR,2021,0,"Larissa Luz, Janamô, Júlia Tizumba"
1982,Oualid Mouaness,0,0,ar,FR,2020,100,"Nadine Labaki, Mohammad Dali, Ghassan Maalouf"
Celeste & Jesse Forever,Alice Rohrwacher,0,0,it,IT,2011,99,"Yle Vianello, Pasqualina Scuncia, Salvatore Cantalupo"
London to Brighton,Paul Andrew Williams,0,449681,en,GB,2006,85,"Georgia Groome, Johnny Harris, Sam Spruell"
American Hero,Nick Love,0,0,en,US,2015,86,"Stephen Dorff, Eddie Griffin, Luis Da Silva Jr."
Windsor Drive,Natalie Bible',0,0,en,US,2015,90,"Samaire Armstrong, Anna Luca Biani, Matt Cohen"
Crying with Laughter,Justin Molotnikov,0,0,en,US,2009,93,"Stephen McCole, Malcolm Shields, Jo Hartley"
Pandora's Box,G.W. Pabst,0,885533,de,DE,1929,133,"Louise Brooks, Fritz Kortner, Francis Lederer"
Harrison Montgomery,Daniel Dávila,0,0,en,US,2008,95,"Martin Landau, Diane Baker, Melora Walters"
Live-In Maid,Jorge Gaggero,0,200054,es,AR,2004,83,"Norma Aleandro, Norma Argentina, Marcos Mundstock"
The Mudge Boy,Michael Burke,800000,62852,en,US,2003,93,"Emile Hirsch, Tom Guiry, Richard Jenkins"
The Young Unknowns,Catherine Jelski,0,0,en,US,2000,87,"Devon Gummersall, Arly Jover, Eion Bailey"
Not Cool,Shane Dawson,800000,36026,en,US,2014,93,"Shane Dawson, Cherami Leigh, Drew Monson"
Saints and Soldiers,Ryan Little,780000,1310470,en,US,2003,90,"Corbin Allred, Alexander Polinsky, Kirby Heyborne"
Vessel,Clark Baker,0,0,en,US,2012,14,"Brandon Bales, Brandy Maasch, Julie Mintz"
Iraq for Sale: The War Profiteers,Robert Greenwald,0,0,en,US,2006,75,"Shereef Akeel, Chris Dodd"
Kevin Hart: Laugh at My Pain,Leslie Small,0,7706436,en,US,2011,89,"Kevin Hart, Na'im Lynn"
The Conformist,Bernardo Bertolucci,750000,233493,it,IT,1970,108,"Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin"
All the Boys Love Mandy Lane,Jonathan Levine,750000,1757270,en,US,2006,90,"Amber Heard, Michael Welch, Whitney Able"
Bled,Christopher Hutson,0,0,en,US,2009,95,"Sarah Farooqui, Chris Ivan Cevic, Alex Petrovitch"
High Noon,Fred Zinnemann,730000,8000000,en,US,1952,85,"Gary Cooper, Thomas Mitchell, Lloyd Bridges"
Rize,David LaChapelle,0,0,en,US,2005,86,"Christopher Toler, Tommy the Clown, Miss Prissy"
